Review,Actual,predicted
"These truffles are not as great as they are made up to be. I thought for the price they would have a greater taste, but they didn't have much taste at all. They are not worth the price, but had to find out for myself. I will not be buying truffles again, and I'm not going to spend over $10 for a fresh one.",0,0
"Besides being smaller than runts, they look the same and have the same consistency.  Unfortunately, they taste nothing like banana runts...nor do they even taste good.  Yucky stuff.  Trying to return with vendor.",0,0
"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.",0,0
"they decided to ship both my order in ONE HUGE box of 24 cans instead of 12 green beans in one box, 12 corn in another and i was barely able to get this inside my house.  then every single can of green beans was dented and 3 cans of corn were dented",0,0
"Spectrum Naturals Walnut Oil, refined, is a very mild oil. I can't detect any walnut smell or taste any walnut flavor at all. Maybe that's what you want in some cases, though I was hoping for a more nutty flavor like raw walnuts.<br /><br />It does have the advantage of having higher Omega 3 content than most oils. Also most oils that are high in Omega 3 (like fish oil and flax oil) have a strong taste which you probably don't want on your salad.<br /><br />Unlike some of Spectrum's oils, it is not organic.",1,0
"i ordered this in the past and was extremely disappointed. they are unlike truffles that i know of. they were hard like a huge seed, had no truffle aroma. i threw all contents out. will never order them again",0,0
"We've been feeding this food to our wheaten terrier for a year, with happy results - until last Tuesday, when my latest subscribe-and-save bag was opened: my dog started throwing up during the night after eating from this new bag. On the first night, I figured she'd eaten something bad off the street. On the second night, I figured it was the lingering effects of eating something bad off the street. On the third night, I started looking for other causes for the nighttime retching, and I realized that the vomiting had started on the same day as we'd started the new bag. I stopped feeding the dog the Newman's Own and the vomiting stopped for 2 nights. Last night, I fed her the food again, and sure enough, she threw up in the night.<br /><br />I trusted and liked this food - and all things under the Newman's Own brand - but i'll never buy their products again. They clearly have a dangerous quality control problem.",0,0
"My kids love these fruit roll ups and I remember having them as a child so I was delighted when I saw I could buy a large box. However, when they came we were disappointed!  The were were very old and hard...  We only opened one and it broke into pieces. Because it's a food item, you can't return which I think is ridiculous...we couldn't even eat them! I order lots of stuff from Amazon and have had a great experience except for these fruit roll ups. Don't buy food from Amazon! (The only reason I gave it 1 star is because I had to click on something and they did arrive on time).",0,0
"I love caramel and was excited when this arrived. But I AM SO DISAPPOINTED. Hardly any flavor at all, of coffee or caramel",0,0
"There should be an option for a 0 star rating because that is what I would rate this item.<br />First, the sampling was to include 9 varieties but included only 7.  It appears that the two flavors out of stock were not substituted with two other flavors but instead a few more of the remaining flavors were tossed in the box. I had expected that when a limited edition coffee flavor such as Island Coconut was out of stock, it would be replaced with a different limited edition coffee flavor.  Same thing for the Half and Half Lemonade.<br />Second, the order was not balanced.  Of the 7 flavors I did receive, only 2 were coffees, the remaining 5 were teas.<br />The concept of a summer sampler set is a good one but the execution here was an epic fail.  The order is being returned today.",0,0
"The current product, ""Certified Organic Raw Cacao Powder from Ecuador, sold by SAAQIN"", is of terrible quality. Somehow, reviews for a similar item, produced by ""Alive and Aware"", were associated with this product. The cocoa I received when ordering through this page is made by ""Organic Herbal Essence"". Alive and Aware is delicious; Organic Herbal Essence is not. Another warning: After receiving the 5lb bag of Organic Herbal Essence and hating it, I ordered ""Alive and Aware Certified Organic Raw Cacao Powder from Ecuador - 2 Pounds"", shipped by Halaleveryday. I thought for sure I'd get Alive and Aware, given it's in the product title, but Halaleveryday actually shipped me ""Organic Herbal Essence"". Grr.",0,0
"This product makes me want to buy a Miracle Fruit tree so I can have these awesome berries all the time.<br /><br />The biggest changes my husband and I noticed were in eating fruits & other berries. Store-bought strawberries, blueberries, raspberries, blackberries, oranges, and green apples tasted like they were just picked off the plant/bush/tree at the height of ripeness. It was like being a kid again and biting into my first :)<br /><br />I didn't notice any change at all with anything bitter. Beers and coffees and teas tasted about the same. Spicy things like hot sauce tasted kind of gross. Savory things like noodles and meat got a slight hint of sweetness, but nothing THAT noticeable. Sweet things like candy and cake were made to be way too sweet to be palatable.<br /><br />Definitely make sure you get the tablet to slide all over your tongue, and don't chew -- leave it on your tongue until it dissolves.<br /><br />If you're a fan of sweet, succulent fruit, but can't get fresh produce from farmer's markets, do yourself a favor and try these. It's worth the price for the fun, at the very least :)",1,0
I thought the Grove hot chocolate is to sweet. It also has an off taste. I would not recommend this to anybody,0,0
I thought the whole figs would be softer for spreading but they are not. You have figs laying in a very sweet syrup. I've only tried it on toast one time and it was way to sweet to eat. The figs just lay on top unspreadable. I would not buy again. Save your money.,0,0
"I used to like this product until I learned that it is made in China!<br /><br />How many more horror stories do we need to hear about such atrocities as lead in baby toys made in China, contaminated baby formula made in China, contaminated tooth paste made in China, and poisoned pet food before we learn that -- if it comes from China-- it should not go in your mouth, your baby's mouth, or your pet's mouth??!!!",0,0
This is the 1st K-cup coffee that I am getting grounds in my coffee. It is occuring about every 3 cups. I have not had this problem with other K cup manufactures. I will not reorder.,0,0
"Oh my gosh.  I bought this tea and drank my first cup in the late afternoon.  By evening I was having the worst stomach cramps and diarrhea.  I belatedly looked at the ingredients and the first one is senna leaves.  During internet research I discovered that some individuals may experience discomfort or cramping after using senna products.  Also the following admonition - don't take senna for more than a week or so or your body could end up relying on it to contract your bowels.<br /><br />Side effects can include:<br />*diarrhea<br />*intestinal cramps or gripping pains<br />*rash<br />*severe weight loss<br /><br />Senna should not be used by persons with Crone's disease, Diverticular disease and other similar diseases.<br /><br />Senna is not a daily or causal supplement and excessive use can cause liver damage.<br /><br />I wanted to die my insides hurt so bad.  Any weight loss you may accomplish with this tea may not be worth the pain.  Be aware before you use.  I threw my remaining 29 tea bags away!",0,0
"The product is a good value for the amount you get, however it is way too salty.  The product is very dry and firm.  I think this would be good if they cut the salt content in half.",0,0
"Coffee is a very subjective thing.  Some people like coffee that borders on tea, others like the stuff that a certain national chain named after a famous Battlestar Galactica pilot serves.  For the record, I love the slightly-sour taste of Dunkin Donuts coffee and I find the stuff made by ""that other chain"" to be akin to re-hydrated cigarette ash.  For many years, we still percolated coffee...with most big-name brands of pre-ground coffee, you needed a percolator to bring out the flavor in it, but again, your tastes may vary.<br /><br />With my Keurig, my favorite coffee was Paul Neumans Extra Bold....because it didn't seem Extra Bold.  Until you buy 80 of them and get tired of the flavor.  Then, my favorites were the Caribu's....but something happened to that brand (see reviews) and I agree, they did something...either they don't put as much in the cups or they changed the blend, the sourcing of the beans, etc......wasted money on Caribu and wont go back to the brand.<br /><br />So Wolfgang Puck got the nod, tried 4 different flavors.  This one, Sorrento, is not my favorite of the bunch (currently Colombian Chef's Reserve).  It has a bolder strength (which I believe hard core coffee drinkers would consider Medium), but to me it has a simple burnt flavor to it.  Cream and Sweetener don't correct for this, and thus I'm a bit disappointed....but again it was a stab in the dark.<br /><br />I think if you prefer a slightly bolder, slightly more burnt flavor in your coffee...this may be for you.  I like the character of the Colombian Chef's Reserve, but it is not as strong, and perhaps that is just what my taste is slanted towards.  I don't believe you can get a bad cup of coffee in the Wolfgang Puck line however.  Can't say the same for some other K-cup brands.",0,0
Many people are buying this food believing it is safer because it is made in New Zealand. It is now made in the US by Performance Pet Products. I have been feeding this food to my cats since the recall horror of 2007 and prior to the change it was excellent food and I was thrilled with it. Since ZiwiPeak has been switched to canning in the US it has been a nightmare. Several times in the last year I have opened the food to find it is a green or blue colour. I had to return those cans because it made both my cats vomit and have loose stools. Also recently I have found large sharp bone pieces are present and very large strange chunks of greyish pink material that looks like connective tissue. I've contacted the US distributor twice but they have never replied. A batch I got this month with an expiry date of 2014 has caused severe vomiting and shedding with both cats who were previously healthy.,0,0
"I ordered these lollipops for a friends Wizard of Oz themed shower. The arrived packaged well but I noticed the box said they're from ""Oriental Trading Company"".  If I wanted a cheap product that I knew was low quality and from China then I would have bought them directly from their site at $7 for 38 of them!!! However, from the picture these looked well made. The picture is very deceiving and so is the description. They show 16 same-colored lollipops...mine came in a variety of colors. They also gave dimentions that the lollipops were 6""x2"". I noticed they looked a bit small and when I measured they didn't even come to 5"" long, not any of them...even though they're all differnet lengths.  This was very disappointing since I planned to stand them up in a vase of lemon drops. Overall, I'm very disappointed in this product and the seller for not being honest about the product they're providing to consumers.",0,0
"Can't say anything bad about Sugar in the Raw.  I like it better than the other ""natural"" sugars. Better consistency and - I know it doesn't matter - but better color. Unfortunately, one of the ""natural"" paper bags got torn a bit in the box.  It didn't look like the box was damaged so I can't tell how it happened, but it was sort of pain to clean up half a bag that spilled all over the inside of the box and our kitchen when I opened it.  Not sure what the solution is and I'd order it again, but if it happens again, I'd switch to one of the brands that ship in an unnatural plastic bag.",1,0
