Review,Actual,predicted
"Ok--I just bought BIsquick GF and the first thing I tried to make were the drop biscuits (recipe listed on the box).  These are not the kind that are rolled out & cut--these are ""drop ""biscuits.  The results were very tasty.  The taste of this GF bisquick is very much like the original, but the taste is not as tart as the original.  If you want a similar buttermilk taste, you will need to use buttermilk instead of milk in the biscuit recipe.  I noticed something else that was odd and might be a problem for anyone new to cooking; it seems that the amount of mix called for is not quite right.  I read the side of the box and it claims that there are 3 2/3 cups of mix in the box (11 servings of 1/3 cup each).  The biscuit recipe called for 2 cups of mix. I measured heaping teaspoonfuls into a measuring cup and I don't even have a cup of mix left in the bag?????  I know this mix doesn't have wheat flour and maybe that kind of flour measures differently, maybe if I dug into the bag with a cup, I would have used less, but the recipe came out right.  So, there must be a misprint on the box.  I am assuming I measured properly because I have biscuits that can be dipped in gravy, smothered with butter & jam, or sliced to make those yummy McDonald's breakfast sandwiches. By following the instructions, I have A LOT of biscuits.  If you are single, or just cooking for two; you might want to cut the recipe in half.  You will still have plenty and you won't go through the box so quickly.  This mix cost me around $5.00 and I don't have enough left to make anything else, without buying another box; which I will because these biscuits are really, really good.  Still, if you are watching your budget, don't prepare more than you need.<br /><br />About these biscuits:  yummy, fairly golden (because the recipe calls for eggs), and they can be sliced with some crumbly edges, just like glutenous ones.  Without the eggs, you probably won't get the nice eye-appealing color.  Even though they are drop biscuits, you still have to cut-in shortening or margarine. If you don't have a cutter, you will need to use a long fork.  That is more difficult, so if you are a celiac that has been craving biscuits; buy a cutter.  It will cost you as much as a box of this mix.  The biscuit recipe also calls for milk, so if you want that nice tart taste that is reminiscent of the original bisquick; you will need to use buttermilk.<br /><br />The mix is made up of rice flour, sugar, leavening, potato starch, salt, & xanthum gum.  Many mixes and goodies made with rice flour taste grainy.  Bisquick has done a fantastic job with the rice flour.  It is not grainy at all; I repeat, it is not grainy at all.  For those of you new to celiac cooking; using a starch such as corn, potato, or tapioca is normal and adds a lightness to the baked item that wouldn't be possible with rice flour alone.  Leavening is simply baking soda or powder and is necessary for rising.  The sugar and salt are for flavor and consistency,  and yes, they are necessary.  As for the Xanthum gum; it is a perfectly natural ingredient and it gives celiac-safe baked goods a bit of elasticity (acting as a replacement for the gluten).  You will find Xanthum gum in just about every baked goodie made for people with celiac disease.  Can you just make your own mix and spend less money?  Sure, but you will have a very difficult time finding rice flour as finely ground as the rice flour that is the predominant and main ingredient in this mix.<br /><br />The other recipes listed on the box are for pancakes, waffles, strawberry shortcakes, pizza crust, ultimate chicken fingers, and oven baked chicken.  You can find more recipes on their website.<br /><br />I recommend this product for the taste.  I do wish that more mix was in the box, for the price.",1,1
I love these chips so much... and I can't get over how delicious each variety is!! The price here is AWESOME too!,1,1
"I purchased this because I read that it was a natural cure for hives..Um, how about NOT.  It did nothing for my hives and it tastes awful.  Luckily, a co-worker of mine loves this stuff (reminds him of his grandmother) and I gave it to him.  Yucky, yucky stuff.",0,1
"I do like the idea of these crackers for gluten free eating, but I can't bring myself to enjoy them. I bought the 6-pack variety and have tried the Maple Cinnamon and the Onion Garlic. I generally like flax, but these just aren't setting well with me even when I use them as a carrier for dips. I feel I wasted my money. I'll probably give the unopened packs to a friend's family that are gluten free.",0,1
"All of my family members are fans of fruit jams, jellies, and preserves because they are versatile food products that any person of any age can consume. These food products are also friendly for people with TMJ/jaw problems as well. When I tried Hafi's Cloudberries Preserves from Sweden, I decided to try Felix's Lingonberries Preserves, too. Like the other Amazon reviewer said, if you like the taste of cranberries, then you'll probably like this lingonberries preserve. This lingonberries jam has berries in it and looks beautiful as you spread the preserves on pancakes and soft bread. It's the color red, and kind of reminds me of cranberries, the taste and look of them, especially cranberry dressing and salads during American Thanksgiving meals. Swedish lingonberries are very sweet and tart. My recommendation is to buy both Hafi's Cloudberry Preserves and Felix's Lingonberries Preserves for your household and when you're entertaining guests. Why? - because each person has different tastes, and Swedish cloudberry preserves is more mild with less tartness, and would accomodate the people who wouldn't appreciate the tartness of Swedish lingonberries. If you have both Swedish cloudberry and Swedish lingonberry preserves, then you would cover all your bases in terms of pleasing every family member and guest. When it comes to eating this jam straight from the spoon, personally for me, it is really tart, tangy, and a little strong. While with cloudberry preserves, I could probably eat the whole jar without tasting or sensing a strong tartness. Personally for me, this lingonberries preserves tastes great with vanilla yogurt; it reminds me of Yoplait's fruit in the bottom yogurts. According to Felix, on their jar, they say that these lingonberries ripen during summertime in northern Sweden. The ingredients in these preserves are: wild lingonberries, sugar, and fruit pectin. Felix also suggest putting these preserves on meat. I ordered these jars from the seller on Amazon, and they did a good job wrapping and taping bubble wrap to protect each jar from breaking during transport. Anyways, I highly recommend trying Swedish lingonberries and Swedish cloudberries preserves. Both of these Swedish treats offer different tastes that are yummy and good!",1,1
"We love this crisp bread because it's made from 7 whole grains, does not contain any corn syrup and stays fresh for weeks after being opened. It's soft yet crunchy and tastes great. Can only recommend and will definetly buy again.",1,1
"I can't stand GU anymore so i found these.  For me, i feel like i got much more energy and so much better tasting.  These taste as good as any gummi candy out there.  Sometimes during the week i'll open a package and eat a few every day before my workout, and i really notice the extra energy towards the end of the workout.",1,1
Has just enough of the raspberry taste without being over bearing. Will purchase more in the future when my supple depletes.  I had trouble finding a good raspberry hot cocoa but now I know where to get it.  This site will be one of my favorites.,1,1
I used this product on a cake topper for a wedding cake that I made. It worked out so well. Bride & groom were very happy and got non-stop compliments!!,1,1
"We all know how picky cats can be.  It may be grain free, but food still smells, looks like, and fine details in label indicate ""highly processed"" with all the extra vitamins & minerals, which I think is the ""turnoff"" for the kitties. Doesn't say up front, but also contains New Zealand Green Mussell, which I am not sure how that ingredient fits in as I am not from New Zealand, but suspect locals rely on that for nutrients as we do mussells in this country.  They are spoiled on the real thing - minimally processed or raw rabbit, chicken, bird, wild caught salmon.  They will eat canned only if minimally processed.  Another cat food bites the dust but gives the dogs another treat! 1 STAR for not knowing about the New Zealand Mussell & for still being highly processed & therefore unpalatable as food for cats that love rabbit. 5 Star for a dog treat without the added hormones, grains, etc.",1,1
"These Mega lollies are the best i eat 10 a day so they go quickly, i'm not going to tell you how many ive bought since Jan. 1 this year. They are great i love them.",1,1
"Was skeptical about the quality of hot chocolate from a K cup but Grove Square is amazing.  It is just as good as making it from scratch but without the fuss.  The milk chocolate is mild, the dark has enough bite to make it interesting and the peppermint is perfect for after dinner.",1,1
This product works just as advertised!! Guitar center told me the only way to connect my mic to my computer was either an expensive converter box or a usb mic. A-HOLES haha. I love this little gizmo and would definitely recommend it to a friend!!,1,1
"I am very acustom to spicy foods and this has a very rich flavor. Half the bottle was devoted to given people my ""not so hot salsa "" reactions amazing . Worth the money! as for me eating it the title says it all",1,1
"I already have the Bluebird from Blue and was using it to record a friend's live performance. With only a laptop computer at my disposal, I was able to connect my XLR to USB directly into Garageband. The Icicle is small, portable, and so easy to use-- plus, I didn't have to carry a huge A to D converter!",1,1
"Nothing gritty and second rate here!  They are just as good and the only pancake mix we use for the whole family, gluten free or not! They are that good!!",1,1
"I love getting this case. It actually saved me money by buying it this way...and my son loved the fruit varieties. I felt good about giving him this, because it is organic. The price is also good for the product.",1,1
"Good, light taste.  Not too strong of a flavoring, and very little, if any, aftertaste.  They go down easy,...MMMmm.  Definitely happy with the purchase.",1,1
"I took these over to a friends house and tried them with amazing results. After sucking on the pill and letting it dissolve for a few minutes, it really did make everything sour, taste sweet. We tried lemons, limes, even sour candy. The weird thing is, they didn't affect the taste of sweet things, like oranges. These are great for a dinner party.",1,1
"I absolutely love this stuff!  My Dad used to give us each a can (or two) for Christmas every year, and it was always a favorite.  I've never been able to find it where I live now, I should of known to check Amazon! By the way, I've never tasted a variety I didn't like, but I've never tried the reduced fat kind, either.  I also like to make it with coffee instead of water when I need a little boost, it almost makes coffee taste good (sorry, but there's nothing out there that can do that).",1,1
"This is a good instant oatmeal from the best oatmeal brand.  It uses cane sugar instead of high fructouse corn syrup, so not only does it have a better sweetness, but some doctors now say that this form of sugar is better for you.  Great on a cold morning when you don't have time to make McCann's Steel Cut Oats.  The apple cinnamon is the best but the maple and brown sugar or the regular are good too.  Plus they don't require doctoring to actually tell the three flavors apart.",1,1
My daughter loves these snacks and can't get them in China where she is working now so I ordered them for her. Very satisfied and she was very appreciative.,1,1
"If you're looking for an energy boost without artificial sweeteners and other chemicals, this is a great option.  The taste is decent and it is a nice smooth uplift without jitters.",1,1
"It's exactly what I wanted. It's yummy. Make sure you eat your chocolate dip before the strawberry, because you won't like it the other way around. It's perfect.",1,1
"These Kettle Brand potato chips in the Spicy Thai flavor really do taste like food I have eaten at a Thai restaurant. The ingredients listed include garlic powder, onion powder, parsley, jalapeno, and ""spices."" I'm not sure what other spices there are, but it sure tastes like lemongrass to me...yum. These chips are thick cut and very crunch. They come in a seriously heavy-duty bag. I tried to open it like I do regular chip bags by pulling the two sides apart; no way! The bag is so thick I wondered if it was plastic. I started looking for the scissors and decided that any company that put their chips in a bag this nice must have provided a way to open it. Sure enough, there is a small slit on the top and the simple directions ""tear here."" So easy. Why didn't I think of that.",1,1
"We have a Michigan-based coffee cafe (now renamed ""Biggby's"") that stomps Starbucks. (Biggby's was originally named ""Beaners,"" a name that encountered resistance as the franchise spread.) Their<br />dark roasts are to die for --- none of the K-cups come close (except possibly for G.M. Espresso). So this build-it-yourself K-cup is a near perfect solution. The downside is that the brewing takes much longer and there is a bit of splatter. Also the caps are a bit difficult to snap down. Recommended.",1,1
"Nice serving size, good complement to breakfast.  Low in fat, high in protein, and taste great.  I keep the unused portion in the freezer and microwave them, or heat them in a pan if you want a crispier outside.  They are pre-cooked.  Love 'em!",1,1
This product is a light and fruity carbonated beverage.  You might ask how that's different from any other soda.  The difference is that this one leans more on the fruit side rather than the soda or sugar side.  I liked that about it.  While it was sweet it wasn't syrupy sweet to the point that it was cloying and it did not have a strong after taste.  Also it had a much more juicy aspect to it.  Its kind of hard to describe but the best comparison I can make is it's like one of those fruity V8 juices only carbonated.  Maybe that's not right either but I'd recommend trying this at least once.  It just may be a taste you'll find you'll like again.,1,1
"This is the best stuff going for a child that is unable to drink formula or soy milk. I used it for my son when he was a baby. I started him on it when he was about 3 months old, because of allergies and his doctor said to leave him on the soy milk even though it was causing him much discomfort. I couldn't just let my son suffer and took it upon myself to put him on goats milk and ended up with a healthy kid and a doctor who was also a convert!",1,1
