Review,Actual,predicted
"These truffles are not as great as they are made up to be. I thought for the price they would have a greater taste, but they didn't have much taste at all. They are not worth the price, but had to find out for myself. I will not be buying truffles again, and I'm not going to spend over $10 for a fresh one.",0,0
"I purchased this because I read that it was a natural cure for hives..Um, how about NOT.  It did nothing for my hives and it tastes awful.  Luckily, a co-worker of mine loves this stuff (reminds him of his grandmother) and I gave it to him.  Yucky, yucky stuff.",0,0
"Besides being smaller than runts, they look the same and have the same consistency.  Unfortunately, they taste nothing like banana runts...nor do they even taste good.  Yucky stuff.  Trying to return with vendor.",0,0
"As a hot chocolate lover, I was verrrrry disappointed when I tried this product. I first had the peppermint (disgusting) and then tried the dark chocolate (a little better). The problem is that you can REALLY taste the artifical sweetener. I am a diet soda drinker, so I don't have a problem with artifical sweetener. It's just that the taste was so strong in these hot chocolates that it overpowered the chocolate taste. I definitely will NOT buy again.... I would not recommend these to anyone.",0,0
"they decided to ship both my order in ONE HUGE box of 24 cans instead of 12 green beans in one box, 12 corn in another and i was barely able to get this inside my house.  then every single can of green beans was dented and 3 cans of corn were dented",0,0
"i ordered this in the past and was extremely disappointed. they are unlike truffles that i know of. they were hard like a huge seed, had no truffle aroma. i threw all contents out. will never order them again",0,0
"We've been feeding this food to our wheaten terrier for a year, with happy results - until last Tuesday, when my latest subscribe-and-save bag was opened: my dog started throwing up during the night after eating from this new bag. On the first night, I figured she'd eaten something bad off the street. On the second night, I figured it was the lingering effects of eating something bad off the street. On the third night, I started looking for other causes for the nighttime retching, and I realized that the vomiting had started on the same day as we'd started the new bag. I stopped feeding the dog the Newman's Own and the vomiting stopped for 2 nights. Last night, I fed her the food again, and sure enough, she threw up in the night.<br /><br />I trusted and liked this food - and all things under the Newman's Own brand - but i'll never buy their products again. They clearly have a dangerous quality control problem.",0,0
"My kids love these fruit roll ups and I remember having them as a child so I was delighted when I saw I could buy a large box. However, when they came we were disappointed!  The were were very old and hard...  We only opened one and it broke into pieces. Because it's a food item, you can't return which I think is ridiculous...we couldn't even eat them! I order lots of stuff from Amazon and have had a great experience except for these fruit roll ups. Don't buy food from Amazon! (The only reason I gave it 1 star is because I had to click on something and they did arrive on time).",0,0
"I love caramel and was excited when this arrived. But I AM SO DISAPPOINTED. Hardly any flavor at all, of coffee or caramel",0,0
"There should be an option for a 0 star rating because that is what I would rate this item.<br />First, the sampling was to include 9 varieties but included only 7.  It appears that the two flavors out of stock were not substituted with two other flavors but instead a few more of the remaining flavors were tossed in the box. I had expected that when a limited edition coffee flavor such as Island Coconut was out of stock, it would be replaced with a different limited edition coffee flavor.  Same thing for the Half and Half Lemonade.<br />Second, the order was not balanced.  Of the 7 flavors I did receive, only 2 were coffees, the remaining 5 were teas.<br />The concept of a summer sampler set is a good one but the execution here was an epic fail.  The order is being returned today.",0,0
"The SALSA smelled delicious, as I think it probably was - but, unfortunately, the person, at AMAZON, that is a packer (there is probably several) had very little ""stuffing"" to work with, especially on the bottoms.  Therefore, the bottoms were broken on all three bottles. As I reached for my computer; I was told NO RETURNS (cause it's a food item).  I then looked for a CUSTOMER SERVICE tag; and I found ""none"" on their NEW FACE LIFT.  THEY SEEM TO BE PROUD OF THEIR NEW FACE LIFT BUT...THEY SHOULD AT LEAST HAVE A PLACE TO CONTACT THEM IN EMERGENCIES!  LIKE: I BUY A LOT OF ""STUFF"" AND IT ALL COMES IN STYROFOAM BOXES.  NEVER WOULD I SHIP THINGS<br />ESPECIALLY SALSA - IN A CARDBOARD BOX WITH JUST A STRIPE OF LARGE BUBBLE WRAP ON IT.  NO MATTER HOW MUCH THE CARRIER (FED EX) IS CAREFUL, IT'S GOING TO BREAK SOMEWHERE ALONG THE LINE.  ESPECIALLY IN AN ALL GLASS CONTAINER!  BARBARA L. S.",0,0
